Rank|Title|Year|Lifetime Gross|Studio
1874|Red Dawn (1984)|1984|38376497|MGM
1875|The Terminator|1984|38371200|Orion
1876|47 Ronin|2013|38362475|Uni.
1877|City Heat|1984|38348988|WB
1878|Evolution|2001|38345494|DW
1879|Cruel Intentions|1999|38328567|Sony
1880|Higher Learning|1995|38290723|Sony
1881|Not Another Teen Movie|2001|38252284|Sony
1882|Annie Hall|1977|38251425|UA
1883|Meet the Spartans|2008|38233676|Fox
1884|Herbie Rides Again|1974|38229000|Dis.
1885|Mighty Morphin' Power Rangers|1995|38187431|Fox
1886|The Original Kings of Comedy|2000|38182790|Par.
1887|Scream 4|2011|38180928|W/Dim.
1888|10 Things I Hate About You|1999|38178166|BV
1889|Treasure Planet|2002|38176783|BV
1890|Head of State|2003|38125247|DW
1891|Ninja Assassin|2009|38122883|WB
1892|The Running Man|1987|38122105|TriS
1893|The Doctor|1991|38120905|BV
1894|Spaceballs|1987|38119483|MGM
1895|Harold and Kumar Escape from Guantanamo Bay|2008|38108728|WB (NL)
1896|Richie Rich|1994|38087756|WB
1897|Showtime|2002|38082712|WB
1898|Urban Legend|1998|38072438|Sony
1899|Bill and Ted's Bogus Journey|1991|38037513|Orion
1900|Dead Again|1991|38016380|Par.
1901|Seven Years in Tibet|1997|37957682|Sony
1902|40 Days and 40 Nights|2002|37950822|Mira.
1903|It Could Happen to You|1994|37939757|TriS
1904|First Sunday|2008|37931869|SGem
1905|The Brothers Grimm|2005|37916267|Dim.
1906|Big Mommas: Like Father, Like Son|2011|37915414|Fox
1907|Jeepers Creepers|2001|37904175|UA
1908|The Dead Pool|1988|37903295|WB
1909|Bedazzled (2000)|2000|37886980|Fox
1910|All That Jazz|1979|37823676|Fox
1911|St. Elmo's Fire|1985|37803872|Col.
1912|The Black Stallion|1979|37799643|UA
1913|Mars Attacks!|1996|37771017|WB
1914|The Secret Life of Bees|2008|37770162|FoxS
1915|Sky Captain and the World of Tomorrow|2004|37762677|Par.
1916|Autumn in New York|2000|37761915|MGM
1917|Wild (2014)|2014|37746977|FoxS
1918|August: Osage County|2013|37738810|Wein.
1919|For Colored Girls|2010|37729698|LGF
1920|Philomena|2013|37709979|Wein.
1921|How Stella Got Her Groove Back|1998|37672941|Fox
1922|Good Boy!|2003|37667746|MGM
1923|Red Riding Hood|2011|37662162|WB
1924|Pan's Labyrinth|2006|37634615|PicH
1925|The Nativity Story|2006|37629831|NL
1926|First Knight|1995|37600435|Sony
1927|Out of Sight|1998|37562568|Uni.
1928|In Time|2011|37520095|Fox
1929|Abraham Lincoln: Vampire Hunter|2012|37519139|Fox
1930|The Money Pit|1986|37499651|Uni.
1931|Invictus|2009|37491364|WB
1932|The Back-Up Plan|2010|37490007|CBS
1933|Raising Helen|2004|37486512|BV
1934|Song of the South (Re-issue) (1980)|1980|37459346|BV
1935|Paul|2011|37412945|Uni.
1936|Lawless|2012|37400127|Wein.
1937|The Wild|2006|37384046|BV
1938|Man of the Year|2006|37327390|Uni.
1939|J. Edgar|2011|37306030|WB
1940|The Roommate|2011|37300107|SGem
1941|Jumping the Broom|2011|37295394|TriS
1942|Crossroads|2002|37191304|Par.
1943|Semi-Tough|1977|37187139|UA
1944|Uptown Girls|2003|37182494|MGM
1945|28 Days|2000|37170488|Sony
1946|The Guilt Trip|2012|37134215|Par.
1947|Brubaker|1980|37121708|Fox
1948|Tyler Perry's The Family That Preys|2008|37105289|LGF
1949|The Change-Up|2011|37081475|Uni.
1950|30 Minutes or Less|2011|37053924|Sony
1951|Keeping the Faith|2000|37047880|BV
1952|Fight Club|1999|37030102|Fox
1953|Sphere|1998|37020277|WB
1954|State of Play|2009|37017955|Uni.
1955|Clockstoppers|2002|36989956|Par.
1956|Carlito's Way|1993|36948322|Uni.
1957|That's My Boy|2012|36931089|Sony
1958|The Family (2013)|2013|36918811|Rela.
1959|Matchstick Men|2003|36906460|WB
1960|16 Blocks|2006|36895141|WB
1961|Just Cause|1995|36853222|WB
1962|The Apple Dumpling Gang|1975|36853000|Dis.
1963|My Favorite Martian|1999|36850101|BV
1964|Kiss of the Dragon|2001|36845124|Fox
1965|Notorious (2009)|2009|36843682|FoxS
1966|Best Friends|1982|36821203|WB
1967|Bounce|2000|36805288|Mira.
1968|The Brave One|2007|36793804|WB
1969|The Heartbreak Kid|2007|36787257|P/DW
1970|Rear Window|1954|36764313|Par.
1971|Junior|1994|36763355|Uni.
1972|Alive|1993|36733909|BV
1973|Recess: School's Out|2001|36706141|BV
1974|Friday the 13th Part III|1982|36690067|Par.
1975|Colombiana|2011|36665854|TriS
1976|8MM|1999|36663315|Sony
1977|Vampires Suck|2010|36661504|Fox
1978|Gung Ho|1986|36611610|Par.
1979|Taxi|2004|36611066|Fox
1980|Freedom Writers|2007|36605602|Par.
1981|The 'Burbs|1989|36601993|Uni.
1982|Tarzan, the Ape Man|1981|36565280|MGM
1983|Soapdish|1991|36489888|Par.
1984|To Wong Foo, Thanks for Everything, Julie Newmar|1995|36474193|Uni.
1985|Set It Off|1996|36461139|NL
1986|Million Dollar Arm|2014|36457627|BV
1987|Son-in-Law|1993|36448400|BV
1988|All of Me|1984|36403064|Uni.
1989|The Thin Red Line|1998|36400491|Fox
1990|Vegas Vacation|1997|36400360|WB
1991|Sucker Punch|2011|36392502|WB
1992|National Security|2003|36381186|Sony
1993|Beauty Shop|2005|36351350|MGM
1994|Accepted|2006|36323505|Uni.
1995|Death Race|2008|36316032|Uni.
1996|Sliver|1993|36300000|Par.
1997|Universal Soldier|1992|36299898|TriS
1998|Richard Pryor: Live on the Sunset Strip|1982|36299720|Col.
1999|The Sentinel|2006|36280697|Fox
2000|Mad Max Beyond Thunderdome|1985|36230219|WB
